datetime,event,delta_post_fc,post_pips,post_max_pips,post_min_pips,post_mean_pips,post_sum_pips,previous,forecast,actual
2019-05-23 15:30:00,Initial Jobless Claims,215K vs 212K,-19.800000000000928,4.299999999999304,-45.80000000000028,-1.2374999999999192,-19.799999999998708,212K,215K,211K
2019-05-30 15:30:00,GDP (QoQ)  (Q1),3.1% vs 2.2%,-11.999999999998678,8.00000000000134,-19.299999999999876,-0.768750000000179,-12.300000000002864,2.2%,3.1%,3.1%
2019-05-30 15:30:00,Initial Jobless Claims,216K vs 212K,-11.999999999998678,8.00000000000134,-19.299999999999876,-0.768750000000179,-12.300000000002864,212K,216K,215K
2019-05-31 15:30:00,Core PCE Price Index (MoM)  (Apr),0.2% vs 0.1%,29.300000000000992,35.49999999999942,-4.199999999998649,1.875000000000071,30.000000000001137,0.1%,0.2%,0.2%
2019-05-31 15:30:00,Core PCE Price Index (YoY)  (Apr),1.6% vs 1.5%,29.300000000000992,35.49999999999942,-4.199999999998649,1.875000000000071,30.000000000001137,1.5%,1.6%,1.6%
2019-06-03 17:00:00,ISM Manufacturing PMI  (May),53.0 vs 52.8,36.30000000000023,40.79999999999862,-8.00000000000134,2.022222222222271,36.40000000000087,52.8,53.0,52.1
2019-06-05 15:15:00,ADP Nonfarm Employment Change  (May),180K vs 271K,20.800000000000814,53.19999999999992,-2.8999999999990145,1.3187499999997576,21.09999999999612,271K,180K,27K
2019-06-05 17:00:00,ISM Non-Manufacturing PMI  (May),55.5 vs 55.5,-10.999999999998789,53.19999999999992,-13.099999999999223,-0.5722222222223936,-10.300000000003084,55.5,55.5,56.9
2019-06-06 15:30:00,Initial Jobless Claims,215K vs 218K,27.999999999999137,82.40000000000025,-25.800000000000267,1.7562500000001258,28.10000000000201,218K,215K,218K
2019-06-07 15:30:00,Nonfarm Payrolls  (May),185K vs 224K,42.599999999999305,50.20000000000024,-25.200000000000777,2.637499999999932,42.19999999999891,224K,185K,75K
2019-06-07 15:30:00,Unemployment Rate  (May),3.6% vs 3.6%,42.599999999999305,50.20000000000024,-25.200000000000777,2.637499999999932,42.19999999999891,3.6%,3.6%,3.6%
2019-06-10 17:00:00,JOLTS Job Openings  (Apr),7.479M vs 7.474M,-17.400000000000748,3.5000000000007248,-37.10000000000102,-1.0222222222221344,-18.399999999998418,7.474M,7.479M,7.449M
2019-06-11 15:30:00,PPI (MoM)  (May),0.1% vs 0.2%,2.199999999998869,18.899999999999476,-11.499999999999844,0.1249999999999862,1.99999999999978,0.2%,0.1%,0.1%
2019-06-12 15:30:00,Core CPI (MoM)  (May),0.2% vs 0.1%,-12.0000000000009,16.299999999997983,-19.900000000001583,-0.7562500000002359,-12.100000000003774,0.1%,0.2%,0.1%
2019-06-12 15:30:00,CPI (MoM)  (May),0.1% vs 0.3%,-12.0000000000009,16.299999999997983,-19.900000000001583,-0.7562500000002359,-12.100000000003774,0.3%,0.1%,0.1%
2019-06-12 15:30:00,CPI (YoY)  (May),1.9% vs 2.0%,-12.0000000000009,16.299999999997983,-19.900000000001583,-0.7562500000002359,-12.100000000003774,2.0%,1.9%,1.8%
2019-06-13 15:30:00,Initial Jobless Claims,216K vs 219K,-19.599999999999618,11.900000000000244,-20.200000000001328,-1.2374999999996417,-19.799999999994267,219K,216K,222K
2019-06-14 15:30:00,Core Retail Sales (MoM)  (May),0.5% vs 0.5%,-35.80000000000139,11.900000000000244,-46.10000000000003,-2.225000000000005,-35.60000000000008,0.5%,0.5%,0.5%
2019-06-14 15:30:00,Retail Sales (MoM)  (May),0.7% vs 0.3%,-35.80000000000139,11.900000000000244,-46.10000000000003,-2.225000000000005,-35.60000000000008,0.3%,0.7%,0.5%
